PLU CODE	PLU NAME	Price	Item code	Price Type	Best Before Day
50919	Muop huong Kg	23900	50919	By Weight	0
51848	Nho den Chile kg	57000	51848	By Weight	0
57079	Mam ca Loc khua kg	175000	57079	By Weight	0
57283	Kho ruoc Hue kg	282500	57283	By Weight	0
56679	S-Muc ong20-30 don t.xay sc Kg	390000	56679	By Weight	0
57263	Kho ca Loc xe kg	452500	57263	By Weight	0
56680	S-Muc ong10-15 t.xay sc NCC kg	390000	56680	By Weight	0
55550	Muc la lon co dau kg	387000	55550	By Weight	0
57789	Duong cat trang kg	28500	57789	By Weight	0
51819	Mang cut TLan L2 kg	22500	51819	By Weight	0
53006	Thit dui bo kg	290000	53006	By Weight	0
50991	Tuong ot 1kg/bich	10401	50991	By Weight	0
55389	Ca Dieu Hong 700g-800g	105000	55389	By Weight	0
52368	Thit vai heo-VS990	147000	52368	By Weight	0
52083	Nac vun heo-VS990	90000	52083	By Weight	0
55303	Ca Ro phi kg	91000	55303	By Weight	1
55304	Ca Ro phi lam sach kg-NCC	80000	55304	By Weight	1
58001	Mang la Hanoi kg	62000	58001	By Weight	0
51758	Cherry My kg	395000	51758	By Weight	0
55411	Ca Bong Duc kg	185000	55411	By Weight	0
57301	Kho ca thu trang kg	211900	57301	By Weight	0
54004	Dui vit goc tu kg-CP	116000	54004	By Weight	0
55326	Ca Loc bong file sche -Tu NCC	239000	55326	By Weight	1
51842	Nho Xanh Uc kg	80000	51842	By Weight	0
57507	Mi can muoi xa kg	14000	57507	By Weight	0
51794	Buoi da xanh kg	33300	51794	By Weight	0
51797	Coc cay kg	29500	51797	By Weight	0
51800	Cam Nam Phi loai 2	20900	51800	By Weight	0
51801	Cam My loai 2	52500	51801	By Weight	0
51802	Dua hau do kg	10000	51802	By Weight	0
57764	Bot khoai kg	34300	57764	By Weight	0
58714	Hat bi kg-Tet	212000	58714	By Weight	0
58715	Hat bi Nhat kg-Tet	245700	58715	By Weight	0
54017	Vit tuoi ncon 2-2.2 kg - CP	78000	54017	By Weight	0
51924	Tao bi do My dac biet	99000	51924	By Weight	0
50932	Toi chum Ly Son kg	199000	50932	By Weight	0
53589	Ga TVuon ncon kg	53000	53589	By Weight	0
52258	Thit nach heo kg	140400	52258	By Weight	0
52272	Chan gio heo kg	117000	52272	By Weight	0
52268	Suon gia kg	171000	52268	By Weight	0
52296	Mo heo kg	81000	52296	By Weight	0
52435	Bap gio heo kg	115200	52435	By Weight	0
52465	Thit vai heo kg	140400	52465	By Weight	0
57339	Ca khoai tam an lien kg	72000	57339	By Weight	0
57341	Muc tam an lien loai 1 kg	186000	57341	By Weight	0
57342	Muc tam an lien loai 2 kg	104000	57342	By Weight	0
57345	Ca mai tam an lien kg	540000	57345	By Weight	0
50943	Toi Ly Son kg	185000	50943	By Weight	0
50944	Hanh tim Ly Son kg	89000	50944	By Weight	0
50231	Bong Atiso tuoi kg	350000	50231	By Weight	0
52538	S-Thit dui heo tam uop kg-HM	208000	52538	By Weight	1
54580	KSD-Tom su bien kg	240000	54580	By Weight	0
50590	Ca chinh kg	320000	50590	By Weight	0
50592	Ca loc den song kg	93000	50592	By Weight	0
57361	Kho ca trich kg	213200	57361	By Weight	0
51951	Dao Sapa kg	48800	51951	By Weight	0
57373	Kho muc tam gion kg	567000	57373	By Weight	0
55768	Dui Ech lon kg	245000	55768	By Weight	0
54964	Phi le ca tra kg-T.AN	115000	54964	By Weight	1
50674	Dau ca thu kg - NCC	68000	50674	By Weight	0
50604	Ca dieu hong ngop kg-Tu NCC	55000	50604	By Weight	0
50605	Ca bac ma lsach 6-8 con/kg-NCC	115000	50605	By Weight	0
58541	Ca com kho cay D.Diep kg	371200	58541	By Weight	0
51728	Minh ca bop kg-NCC	455000	51728	By Weight	0
50677	Ca ho kg-TD	48000	50677	By Weight	0
53101	Dui bo Uc loai A kg -VS990	120000	53101	By Weight	0
53103	Dui vai bo Uc kg-VS990	375000	53103	By Weight	0
53107	Nac co bo Uc kg-VS990	230000	53107	By Weight	0
53110	Gan dau bap bo Uc kg -VS990	280000	53110	By Weight	0
51958	Nhan da bo kg	46200	51958	By Weight	0
50996	Gao thom Dai Loan kg	25700	50996	By Weight	0
51990	Bon bon chua ngot SH kg	125100	51990	By Weight	0
57137	Pho Nam kg	8600	57137	By Weight	0
51266	Ca tai tuong song kg	117000	51266	By Weight	0
51371	Ca chep song kg	93000	51371	By Weight	0
59418	Tao Kiku My kg	159000	59418	By Weight	0
51304	Khoai lang tim giong Nhat kg	37000	51304	By Weight	0
56129	Coc non giong Thai kg	12900	56129	By Weight	0
56130	Tao Envy My kg	175000	56130	By Weight	0
51650	Xuong bo bo kg-VS990	42000	51650	By Weight	0
51312	Le mac cop kg	39900	51312	By Weight	0
58841	Duoi ca tam tuoi kg	229000	58841	By Weight	0
10904	S-Kho qua trai kg(1)	9900	10904	By Weight	1
51390	Ca com say ngu coc kg	362600	51390	By Weight	0
51392	Keo dau phong kg	120500	51392	By Weight	0
59163	Dau ca hoi tuoi-NCC	52000	59163	By Weight	0
51340	Rau cu qua luoc-PKD990	92000	51340	By Weight	0
11985	S-Tao hong Phan Rang kg(1)	20000	11985	By Weight	0
59516	@Dua mam kg-SH990	90000	59516	By Weight	0
59517	@Dua mon kg-SH990	200000	59517	By Weight	0
59327	C-Mang tay COOP L2 kg	125000	59327	By Weight	0
59070	Chuoi Dole L1 kg	39800	59070	By Weight	0
51674	Ga ta hap hanh kg-PKD990	155000	51674	By Weight	0
56247	S-Ca tim don thit kg	89000	56247	By Weight	0
56248	S-Dau bap don thit kg	118000	56248	By Weight	0
56252	Xoai giong Dai Loan do kg	57500	56252	By Weight	0
59275	Gan bo Uc-VS990	190000	59275	By Weight	0
59289	Gan dau bap bo Uc kg	280000	59289	By Weight	0
